RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
191,202,Chris Thompson,20,9.88,8,81
192,T190,Adam Long,23,9.68,9,93
193,206,Tom Lovelady,13,9.43,5,53
194,208,John Chin,24,9.28,9,97
195,195,Jim Furyk,16,9.23,6,65
196,209,Roger Sloan,27,9.17,10,109
T197,T210,Trey Mullinax,30,9.09,11,121
T197,200,Kyle Stanley,22,9.09,8,88
199,205,Seamus Power,25,9.00,9,100
200,213,Nicholas Lindheim,14,8.93,5,56
201,214,Tyrone Van Aswegen,14,8.77,5,57
202,215,Brandt Snedeker,35,8.76,12,137
203,T192,Aaron Baddeley,23,8.60,8,93
204,203,Carlos Ortiz,32,8.59,11,128
T205,228,Rory McIlroy,16,8.33,5,60
T205,217,Sanghyun Park,12,8.33,4,48
T205,T210,Charl Schwartzel,12,8.33,4,48
208,220,Kevin Streelman,30,8.26,10,121
209,218,Joey Garber,18,8.22,6,73
210,161,Tommy Fleetwood,12,8.16,4,49
211,219,Kenny Perry,9,8.11,3,37
212,221,Rod Pampling,18,6.85,5,73
213,223,Ian Poulter,16,6.67,4,60
214,222,Kiradech Aphibarnrat,16,6.25,4,64
215,225,J.J. Henry,16,6.15,4,65
216,226,Chad Campbell,9,5.41,2,37
217,227,Alex Noren,14,5.36,3,56
